stitle,accn,manually_added
"Human gammaherpesvirus 4 UPN132_PBMC DNA, nearly complete genome",AP019060,FALSE
"Human gammaherpesvirus 4 UPN1789_PBMC DNA, nearly complete genome",AP019079,FALSE
"Human gammaherpesvirus 4 isolate NPCS026, complete genome",MK540336,FALSE
"Human gammaherpesvirus 4 isolate NPCT039, complete genome",MK540393,FALSE
"Human gammaherpesvirus 4 isolate NPCT084, complete genome",MK540441,FALSE
"Human gammaherpesvirus 4 UPN18_PBMC DNA, nearly complete genome",AP019080,FALSE
"Human gammaherpesvirus 4 UPN3448_PBMC DNA, nearly complete genome",AP019130,FALSE
"Human gammaherpesvirus 4 UPN365_CD3+ DNA, nearly complete genome",AP019132,FALSE
"Human gammaherpesvirus 4 DNA, nearly complete genome, strain: HNNPC2",LC149491,FALSE
"Human gammaherpesvirus 4 DNA, nearly complete genome, strain: HNNPC5",LC150338,FALSE
"Human gammaherpesvirus 4 SNT13_cell DNA, nearly complete genome",AP019015,FALSE
"Human gammaherpesvirus 4 UPN265_PBMC DNA, nearly complete genome",AP019111,FALSE
"Human gammaherpesvirus 4 UPN3065_PBMC DNA, nearly complete genome",AP019121,FALSE
"Human gammaherpesvirus 4 UPN311_CD56+ DNA, nearly complete genome",AP019124,FALSE
"Human gammaherpesvirus 4 UPN267_PBMC DNA, complete genome",AP019114,FALSE
"Human gammaherpesvirus 4 UPN582_PBMC DNA, complete genome",AP019179,FALSE
"Human gammaherpesvirus 4 UPN106_PBMC DNA, nearly complete genome",AP019029,FALSE
"Human gammaherpesvirus 4 UPN130_tumor DNA, nearly complete genome",AP019059,FALSE
"Human gammaherpesvirus 4 UPN128_tumor DNA, nearly complete genome",AP019056,FALSE
"Human gammaherpesvirus 4 UPN310_CD56+ DNA, nearly complete genome",AP019123,FALSE
"Human gammaherpesvirus 4 UPN12_PBMC DNA, nearly complete genome",AP019050,FALSE
"Human gammaherpesvirus 4 UPN1901_tissue DNA, nearly complete genome",AP019086,FALSE
"Human gammaherpesvirus 4 UPN252_PBMC DNA, nearly complete genome",AP019097,FALSE
"Human gammaherpesvirus 4 UPN495_PBMC DNA, complete genome",AP019162,FALSE
"Human gammaherpesvirus 4 UPN1833_tissue DNA, complete genome",AP019083,FALSE
"African swine fever virus isolate Kenya 1950, complete genome",NC_044944,FALSE
"African swine fever virus strain R35, complete genome",MH025920,FALSE
"African swine fever virus isolate 47/Ss/2008, complete genome",NC_044955,FALSE
"African swine fever virus isolate ASFV Belgium 2018/1 genome assembly, complete genome: monopartite",LR536725,FALSE
"UNVERIFIED: African swine fever virus isolate Pol16_20540_o10, complete genome",MG939585,FALSE
"African swine fever virus isolate ASFV Wuhan 2019-1, complete genome",MN393476,FALSE
"African swine fever virus isolate ASFV Wuhan 2019-2, complete genome",MN393477,FALSE
"Human papillomavirus isolate HPV-mSK_082, complete genome",MH777225,FALSE
"Human papillomavirus isolate HPV-mSK_223, complete genome",MH777362,FALSE
"Human papillomavirus isolate HPV-mSK_164, complete genome",MH777306,FALSE
"Human papillomavirus isolate 915 F 06 002 KN1, complete genome",JF966371,FALSE
"Sindbis virus isolate BNI-10865, complete genome",MF589985,FALSE
"Sindbis virus strain Stavropol, complete genome",MG679375,FALSE
"Sindbis virus strain Kyzylagach LEIV-65A, complete genome",MG679374,FALSE
"Sindbis virus strain YN_222, complete genome",MH229928,FALSE
"Venezuelan equine encephalitis virus isolate LSE9010-15, complete genome",MK796243,FALSE
"Equine arteritis virus genomic RNA, complete genome, isolate: GB_Glos_2012",LC000003,FALSE
"West Nile virus isolate ED-I-33/18-UM, complete genome",MH924836,FALSE
"Tick-borne encephalitis virus, complete genome",NC_001672,FALSE
"Classical swine fever virus strain JJ17LOM-SJM06, complete genome",MN558881,FALSE
"Classical swine fever virus strain JJ06LOM-JSY01, complete genome",MN558871,FALSE
"Classical swine fever virus strain JJ16LOM-YYM02, complete genome",MN558875,FALSE
"Classical swine fever virus isolate KNU-1827-1, complete genome",MK093250,FALSE
"Classical swine fever virus isolate KNU-1827-2, complete genome",MK093251,FALSE
"Classical swine fever virus strain JJ07LOM-JSM01, complete genome",MN558872,FALSE
"Classical swine fever virus isolate KNU-1825-3, complete genome",MK093245,FALSE
"Classical swine fever virus strain 02LOM-JY00, complete genome",MN558863,FALSE
"Classical swine fever virus strain JJ14LOM-WSH01, complete genome",MN558874,FALSE
"Classical swine fever virus strain JJ17LOM-HSJ13, complete genome",MN558886,FALSE
"Classical swine fever virus strain JJ07LOM-JSG02, complete genome",MN558873,FALSE
"Classical swine fever virus strain JJ18LOM-KGS01, complete genome",MN558887,FALSE
"Classical swine fever virus isolate KNU-1826-2, complete genome",MK093247,FALSE
"Classical swine fever virus strain JJ04LOM-Tamra01, complete genome",MN558869,FALSE
"Classical swine fever virus, complete genome",MK121886,FALSE
"Classical swine fever virus isolate KNU-1824, complete genome",MK093242,FALSE
"Classical swine fever virus strain JJ17LOM-JSJ12, complete genome",MN558885,FALSE
"Classical swine fever virus isolate CSFV_2.3_wb_CSF1045_2009_Roesrath T3-WB15C14L genome assembly, complete genome: monopartite",LT593750,FALSE
"Classical swine fever virus isolate KNU-1826-3, complete genome",MK093248,FALSE
"Classical swine fever virus isolate KNU-1823, complete genome",MK093241,FALSE
"Classical swine fever virus strain 16LOM-JY00, complete genome",MN558866,FALSE
"Classical swine fever virus Nghe An/2013 RNA, complete genome",LC388757,FALSE
"Classical swine fever virus isolate KNU-1825-1, complete genome",MK093243,FALSE
"Classical swine fever virus isolate KNU-1825-2, complete genome",MK093244,FALSE
"Classical swine fever virus strain JJ16LOM-WSH03, complete genome",MN558876,FALSE
"Classical swine fever virus isolate CSFV_IND/UK/LAL-290, complete genome",KC851953,FALSE
"Classical swine fever virus isolate CSFV_2.3_wb_CSF1045_2009_Roesrath T3-Inoculum genome assembly, complete genome: monopartite",LT593749,FALSE
"Classical swine fever virus isolate KNU-1826-4, complete genome",MK093249,FALSE
"Classical swine fever virus strain JJ17LOM-KJS09, complete genome",MN558879,FALSE
"Classical swine fever virus strain LOM-850, complete genome",MN558862,FALSE
"Classical swine fever virus strain JJ05LOM-KSM01, complete genome",MN558870,FALSE
"Classical swine fever virus strain JJ17LOM-PYS03, complete genome",MN558878,FALSE
"Classical swine fever virus strain 16LOM-KR00, complete genome",MN558868,FALSE
"Classical swine fever virus isolate KNU-1827-3, complete genome",MK093252,FALSE
"Classical swine fever virus isolate CSFV_2.3_wb_CSF1045_2009_Roesrath T3-WB16AL14L genome assembly, complete genome: monopartite",LT593757,FALSE
"Classical swine fever virus, complete genome",AY663656,FALSE
"Classical swine fever virus isolate KNU-1826-1, complete genome",MK093246,FALSE
"Classical swine fever virus strain 16LOM-KM00, complete genome",MN558867,FALSE
"Classical swine fever virus strain HCLV, complete genome",AF531433,FALSE
"Classical swine fever virus strain JJ17LOM-CCJ04, complete genome",MN558880,FALSE
"Classical swine fever virus strain CSFV/2.3/wb/CSF1046/2009/Hennef, complete genome",GU233733,FALSE
"Classical swine fever virus isolate CSF/wb/FR67/2005/0125-05 genome assembly, complete genome: monopartite",LT158406,FALSE
"Classical swine fever virus strain JJ16LOM-YJK08, complete genome",MN558877,FALSE
"Classical swine fever virus from India, complete genome",EU857642,FALSE
"Classical swine fever virus strain Riems, complete genome",AY259122,FALSE
"Classical swine fever virus strain 94.4/IL/94/TWN, complete genome",AY646427,FALSE
"Classical swine fever virus strain JJ17LOM-IGS08, complete genome",MN558883,FALSE
"Classical swine fever virus isolate HY78, complete genome",MH979231,FALSE
"Classical swine fever virus isolate CSFV_2.3_wb_CSF1045_2009_Roesrath T3-DP53AL14L genome assembly, complete genome: monopartite",LT593751,FALSE
"Hog cholera virus strain Riems, complete genome",U45477,FALSE
"Classical swine fever virus strain CSFV/2.3/wb/CSF1045/2009/Roesrath, complete genome",GU233734,FALSE
"Classical swine fever virus isolate CSFV-UP-GZ-NVD-11, complete genome",JQ861548,FALSE
"Classical swine fever virus, complete genome",AY382481,FALSE
"Classical swine fever virus strain Thiverval, complete genome",EU490425,FALSE
"Classical swine fever virus strain 16LOM-GC00, complete genome",MN558865,FALSE
"Classical swine fever virus strain JJ17LOM-LHH10, complete genome",MN558884,FALSE
"Bovine viral diarrhea virus 1 isolate CA2006, complete genome",MK775204,FALSE
"Bovine viral diarrhea virus 1 isolate VE_138cp_05 genome assembly, complete genome: monopartite",LT907991,FALSE
"Pestivirus type 1 cytopathic genomic RNA, complete genome",U86599,FALSE
"Bovine viral diarrhea virus 1, complete genome",NC_001461,FALSE
"Hepacivirus C isolate CH6acc, complete genome",MH155319,FALSE
"Hepacivirus C isolate 14DH50, complete genome",MK139018,FALSE
"Hepacivirus C isolate 14DH42, complete genome",MK139017,FALSE
"Hepatitis C virus isolate QC132, complete genome",JF735130,FALSE
"Mutant Hepacivirus C clone T9cc, complete genome",MN712203,FALSE
"Mutant Hepacivirus C clone S83cc, complete genome",MN712204,FALSE
"Hepatitis C virus isolate GZ0020, complete genome",KJ678757,FALSE
"Hepatitis C virus isolate QC155, complete genome",FJ839869,FALSE
"Hepatitis C virus isolate GZ0046, complete genome",KJ678758,FALSE
"Hepacivirus C isolate HK6acc, complete genome",MG717930,FALSE
"Hepatitis C virus isolate QC289, complete genome",JF735116,FALSE
"Hepatitis C virus isolate NK46, complete genome",EU158186,FALSE
"Hepatitis C virus RNA, complete genome sequence",D10934,FALSE
"Hepatitis C virus isolate QC255, complete genome",KM504119,FALSE
"Hepacivirus C isolate 14DH34, complete genome",MK139015,FALSE
"Hepatitis C virus isolate GB26, complete genome",KJ678753,FALSE
"Hepacivirus C isolate HK6a.H77_3'XSLI, complete genome",MG717929,FALSE
"Hepatitis C virus isolate GZ0223, complete genome",KJ678760,FALSE
"Hepatitis C virus isolate QC82, complete genome",KJ439774,FALSE
"Hepacivirus C isolate 14DH67, complete genome",MK139021,FALSE
"Hepatitis C virus isolate DH8/JFH1, complete genome",KC967477,FALSE
"Hepatitis C virus isolate QC251, complete genome",KM504118,FALSE
"Hepatitis C virus isolate QC88, complete genome",KJ470617,FALSE
"Hepatitis C virus isolate HH064, complete genome",KJ678767,FALSE
"Mutant Hepatitis C virus isolate Ad-JFH1-DeltaV3-EGFP, complete genome",KF268446,FALSE
"Hepatitis C virus isolate DH027, complete genome",JX183557,FALSE
"Hepatitis C virus isolate QC87, complete genome",KJ439782,FALSE
"Hepatitis C virus clone JFH1-AM120, complete genome",KF700370,FALSE
"Hepatitis C virus clone JFH1-ad16, complete genome",JX014307,FALSE
"Hepatitis C virus isolate QC103, complete genome",KJ439768,FALSE
"Hepatitis C virus isolate WS083, complete genome",KJ678812,FALSE
"Hepatitis C virus strain EJ1, complete genome",KY283130,FALSE
"Hepatitis C virus isolate HK38, complete genome",KJ470624,FALSE
"Hepatitis C virus isolate QC182, complete genome",JF735112,FALSE
"Hepatitis C virus isolate QC78, complete genome",KJ439770,FALSE
"Hepatitis C virus strain CP16, complete genome",KY014622,FALSE
"Hepacivirus C isolate 14DH40, complete genome",MK139016,FALSE
"Hepatitis C virus isolate QC81, complete genome",KM504111,FALSE
"Hepatitis C virus isolate QC352, complete genome",JF735135,FALSE
"Hepacivirus C isolate J6/JFH1/DH1, complete genome",MG406987,FALSE
"Hepatitis C virus isolate QC196, complete genome",KJ439778,FALSE
"Hepatitis C virus isolate TV241, complete genome",EF632069,FALSE
"Hepatitis C virus isolate FS12, complete genome",KJ678747,FALSE
"Hepatitis C virus isolate GZ0012, complete genome",KJ678756,FALSE
"Hepatitis C virus isolate QC269, complete genome",KM504121,FALSE
"Hepatitis C virus isolate FS14, complete genome",KJ678749,FALSE
"Hepatitis C virus isolate GZ0144, complete genome",KJ678759,FALSE
"Hepatitis C virus isolate S83/JFH1, complete genome",KC967479,FALSE
"Hepatitis C virus isolate QC297, complete genome",JF735117,FALSE
"Hepatitis C virus isolate TV574, complete genome",KJ678804,FALSE
"Hepatitis C virus isolate QC197, complete genome",KM504117,FALSE
"Hepatitis C virus isolate QC259, complete genome",JF735114,FALSE
"Hepatitis C virus isolate SZ826, complete genome",KJ678785,FALSE
"Hepatitis C virus isolate QC34, complete genome",KJ470616,FALSE
"Hepacivirus C isolate 14DH51, complete genome",MK139019,FALSE
"Hepatitis C virus strain SA1, complete genome",KJ925146,FALSE
"Hepacivirus C isolate HK2.H77_3'XSLI, complete genome",MG717926,FALSE
"Hepatitis C virus isolate QC165, complete genome",KJ439767,FALSE
"Hepatitis C virus isolate GZ0307, complete genome",KJ678761,FALSE
"Hepatitis C virus isolate QC08, complete genome",KJ470613,FALSE
"Hepatitis C virus isolate TV585, complete genome",KJ678807,FALSE
"Hepatitis C virus isolate NE274, complete genome",KJ470619,FALSE
"Hepacivirus C isolate 14DH76, complete genome",MK139022,FALSE
"Hepatitis C virus isolate TV477, complete genome",KJ678789,FALSE
"Hepatitis C virus isolate TV525, complete genome",KJ678794,FALSE
"Hepatitis C virus isolate QC114, complete genome",JF735110,FALSE
"Hepatitis C virus isolate QC260, complete genome",JF735123,FALSE
"Hepatitis C virus isolate QC58, complete genome",JF735138,FALSE
"Hepatitis C virus isolate QC382, complete genome",FJ462437,FALSE
"Hepatitis C virus isolate DH10/JFH1, complete genome",KC967478,FALSE
"Hepacivirus C isolate 14DH61, complete genome",MK139020,FALSE
"Hepatitis C virus isolate PK-1, complete genome",GU294484,FALSE
"Hepatitis C virus isolate QC266, complete genome",KM504120,FALSE
"Hepatitis C virus isolate QC253, complete genome",JF735134,FALSE
"Hepatitis C virus isolate TV476, complete genome",JX183552,FALSE
"Hepacivirus C isolate J6/JFH1/J8, complete genome",MG406988,FALSE
"Hepatitis C virus isolate GZ0311, complete genome",KJ678762,FALSE
"Hepatitis C virus isolate QC232, complete genome",JF735113,FALSE
"Hepatitis C virus isolate T9/JFH1, complete genome",KC967476,FALSE
"Hepatitis C virus isolate gb28, complete genome",KJ678754,FALSE
"Hepatitis C virus isolate TV472, complete genome",KJ678787,FALSE
"Hepatitis C virus strain SA3, complete genome",KJ925148,FALSE
"Hepatitis C virus isolate QC268, complete genome",JF735125,FALSE
"Hepatitis C virus isolate QC384, complete genome",FJ462439,FALSE
"Hepatitis C virus isolate TV533, complete genome",JX183553,FALSE
"Hepatitis C virus isolate QC271, complete genome",JX183558,FALSE
Hepatitis C virus (HCV) complete genome,D11168,FALSE
"Hepatitis C virus isolate QC302, complete genome",JF735118,FALSE
"Hepatitis C virus isolate TV571, complete genome",KJ678803,FALSE
"Hepatitis C virus isolate QC105, complete genome",JF735122,FALSE
"Hepatitis C virus isolate QC156, complete genome",KJ439771,FALSE
"Hepatitis C virus isolate QC115, complete genome",JF735124,FALSE
"Hepatitis C virus isolate GZ1, complete genome",KJ678766,FALSE
"Hepatitis C virus isolate TV547, complete genome",KJ678797,FALSE
"Hepatitis C virus isolate TV577, complete genome",KJ678805,FALSE
"Hepatitis C virus isolate QC361, complete genome",JF735136,FALSE
"Hepatitis C virus isolate TV249, complete genome",EF632070,FALSE
"Hepatitis C virus isolate QC383, complete genome",FJ462438,FALSE
"Hepatitis C virus isolate QC126, complete genome",JF735128,FALSE
"Hepatitis C virus isolate QC127, complete genome",JF735129,FALSE
"Hepatitis C virus isolate TV589, complete genome",KJ678808,FALSE
"Hepatitis C virus isolate NE145, complete genome",KJ470618,FALSE
"Hepatitis C virus isolate HH093, complete genome",KJ678770,FALSE
"Hepatitis C virus isolate QC152, complete genome",KJ439776,FALSE
"Hepatitis C virus isolate 6_TV453, complete genome",KJ567648,FALSE
"Hepatitis C virus isolate TV578, complete genome",KJ678806,FALSE
"Hepacivirus C isolate HK2cc, complete genome",MG717927,FALSE
"Hepatitis C virus isolate KM35, complete genome",JX183549,FALSE
"Hepatitis C virus isolate QC93, complete genome",FJ462440,FALSE
"Hepatitis C virus isolate SZ593, complete genome",KJ678784,FALSE
"Hepatitis C virus isolate FS6, complete genome",KJ678751,FALSE
"Hepatitis C virus isolate SW173, complete genome",KJ678782,FALSE
"Hepatitis C virus isolate HH081, complete genome",KJ678769,FALSE
"Hepatitis C virus isolate QC273, complete genome",JX183550,FALSE
"Hepatitis C virus isolate QC108, complete genome",JF735127,FALSE
"Hepatitis C virus isolate QC287, complete genome",KM504122,FALSE
"Hepatitis C virus isolate QC147, complete genome",JF735131,FALSE
"Hepatitis C virus isolate HK25, complete genome",KJ470622,FALSE
"Hepatitis C virus isolate ZS221, complete genome",KJ678813,FALSE
"Hepatitis C virus strain SB, complete genome",KM349851,FALSE
"Hepatitis C virus isolate QC262, complete genome",FJ462434,FALSE
"Hepatitis C virus isolate 6_TV443, complete genome",KJ567649,FALSE
"Hepatitis C virus isolate 6_TV548, complete genome",KJ567650,FALSE
"Hepatitis C virus isolate QC189, complete genome",KM504116,FALSE
"Infectious bronchitis virus strain gammaCoV/Ck/Poland/255/1997, complete genome",MK581204,FALSE
"Infectious bronchitis virus isolate YX10 D90 vaccine, complete genome",MF508703,FALSE
"Infectious bronchitis virus strain E160_YN, complete genome",MK644086,FALSE
"Infectious bronchitis virus isolate IBV/Ck/EG/CU/4/2014, complete genome",KY805846,FALSE
"Infectious bronchitis virus isolate IS-1494, complete genome",MG233398,FALSE
"Infectious bronchitis virus isolate CK/CH/GD/QY16, complete genome",MG197727,FALSE
"Infectious bronchitis virus isolate ahysx-1, complete genome",MK142676,FALSE
"Infectious bronchitis virus isolate YN, complete genome",JF893452,FALSE
"Bovine coronavirus strain Quebec, complete genome",AF220295,FALSE
"Avian avulavirus 1 isolate chicken/Indonesia/ITA/012WJ, complete genome",MN727300,FALSE
"Viral hemorrhagic septicemia virus strain VHSVLB2018, complete genome",MK598848,FALSE
"Viral hemorrhagic septicemia virus strain FP-VHS2010-1, complete genome",KP334106,FALSE
"HIV-1 isolate 9255_W12_2C19 from Germany, complete genome",MN090865,FALSE
"HIV-1 isolate 9242_W12_5A4_S274 from USA, complete genome",MN090229,FALSE
"HIV-1 isolate 074-A-110-1-4_w84_277 from Botswana, complete genome",MK458041,FALSE
"HIV-1 isolate 9252_W12_6O10 from USA, complete genome",MN090631,FALSE
"HIV-1 isolate 1030 from Philippines, complete genome",MH327765,FALSE
"HIV-1 isolate 9244_W12_11P22 from USA, complete genome",MN090377,FALSE
"HIV-1 isolate 9254_W-2_5M18 from Germany, complete genome",MN090840,FALSE
"HIV-1 isolate MSM20183149 from China, complete genome",MN336529,FALSE
"HIV-1 isolate 9254_W12_3L6 from Germany, complete genome",MN090756,FALSE
"HIV-1 isolate 9255_W12_7L2 from Germany, complete genome",MN090878,FALSE
"HIV-1 isolate P3844 from Democratic Republic of the Congo, complete genome",MH705156,FALSE
"Simian immunodeficiency virus clone SIVsmE660-FL10, complete genome",JQ864084,FALSE
"Simian immunodeficiency virus isolate SIVsmR95117, complete genome",KU955518,FALSE
"Simian immunodeficiency virus isolate SIVmac251.RD.p3h1 from USA, complete genome",KC522250,FALSE
"Simian immunodeficiency virus isolate SIVmac251.RD.tf1 from USA, complete genome",KC522251,FALSE
"Simian immunodeficiency virus clone pE660.CG7V, complete genome",JX648291,FALSE
"Coxsackievirus B3 clone CV-B3/28 2A C107S, complete genome",MK012537,FALSE
"Human poliovirus 1 isolate 1PMR046018, complete genome",MG212429,FALSE
"Foot-and-mouth disease virus - type A isolate BAN/CH/Sa-304/2016, complete genome",MK088171,FALSE
"Foot-and-mouth disease virus - type A isolate EGY/1/72, complete genome",MH053305,FALSE
"Foot-and-mouth disease virus - type A strain A/Arg/01-CapLc, complete genome",MK341544,FALSE
"Foot-and-mouth disease virus - type A isolate A01L, complete genome",KY404934,FALSE
"Foot-and-mouth disease virus A isolate abrazil iso67, complete genome",AY593788,FALSE
"Foot-and-mouth disease virus A isolate aarg Trenquelauquen iso103, complete genome",AY593786,FALSE
"Foot-and-mouth disease virus - type A isolate EGY 1/2012, complete genome",KC440882,FALSE
"Foot-and-mouth disease virus A isolate airan iso105, complete genome",AY593791,FALSE
"Foot-and-mouth disease virus - type A strain A/VN/T11D/2013, complete genome",KJ608371,FALSE
"Foot-and-mouth disease virus - type A isolate BAN_GA_Sa-197_2013, complete genome",KJ754939,FALSE
"Foot-and-mouth disease virus A isolate a32ven iso36, complete genome",AY593775,FALSE
"Foot-and-mouth disease virus - type A strain A/BAD/AFG/L2813/2009, complete genome",MN062586,FALSE
"Foot-and-mouth disease virus - type A strain A/SIN/PAK/L693/2009, complete genome",MN062587,FALSE
"Foot-and-mouth disease virus - type A isolate A01NL, complete genome",KY404935,FALSE
"Foot-and-mouth disease virus - type A strain A/Arg/01-A01Lc, complete genome",MK341545,FALSE
"Foot-and-mouth disease virus A isolate a22iraq-95 iso95, complete genome",AY593762,FALSE
"Foot-and-mouth disease virus - type A isolate TUR/11/2013, complete genome",KM268896,FALSE
"Foot-and-mouth disease virus - type O strain O/VN1/2014, complete genome",MH845413,FALSE
"Foot-and-mouth disease virus - type O strain O/CHA/7/2011, complete genome",KY234501,FALSE
"Foot-and-mouth disease virus - type O isolate Zabaikalskiy/1/RUS/2016, complete genome",MG983720,FALSE
"Foot-and-mouth disease virus - type O strain O/GZ/CHA/2010, complete genome",JN998086,FALSE
"Foot-and-mouth disease virus - type O strain O/KHO/IRN/L5/2010, complete genome",MN062580,FALSE
"Foot-and-mouth disease virus - type O strain O/GJ/SKR/2016, complete genome",KY086465,FALSE
"Foot-and-mouth disease virus - type O strain O/ISL/PAK/L1412/2009, complete genome",MN062583,FALSE
"Foot-and-mouth disease virus - type O isolate TUR/12/2013, complete genome",KM268895,FALSE
"Foot-and-mouth disease virus - type O strain O/BY/CHA/2010, complete genome",JN998085,FALSE
"Foot-and-mouth disease virus - type O isolate BAN/TA/Dh-301/2016, complete genome",MK088170,FALSE
"Foot-and-mouth disease virus - type O isolate BAN/BO/Na-161/2013, complete genome",MK071699,FALSE
"Foot-and-mouth disease virus - type O isolate SKR/6/2014, complete genome",KY322674,FALSE
"Foot-and-mouth disease virus genomic RNA, complete genome, strain: O/JPN/2010 290-1E",LC036265,FALSE
"Foot-and-mouth disease virus - type O strain O/GC/SKR/2016, complete genome",KY086466,FALSE
"Foot-and-mouth disease virus - type O isolate WFL, complete genome",EF175732,FALSE
"Foot-and-mouth disease virus - type O isolate MAY/2/2014, complete genome",KY322671,FALSE
"Foot-and-mouth disease virus - type O strain O/KAB/AFG/LI-709/2009, complete genome",MN062578,FALSE
"Foot-and-mouth disease virus - type O strain O/SKR/GJ/2016, complete genome",KX534089,FALSE
"Foot-and-mouth disease virus - type O strain Andong, complete genome",KC503937,FALSE
"Foot-and-mouth disease virus - type O isolate EGY 10/2011, complete genome",KC440883,FALSE
"Foot-and-mouth disease virus - type O strain O/NWF/PAK/L1417/2009, complete genome",MN062584,FALSE
"Foot-and-mouth disease virus O strain OMIII, complete genome",AY359854,FALSE
"Citrus tristeza virus isolate Taiwan-Pum/SP/T1, complete genome",JX266712,FALSE
"Citrus tristeza virus isolate B389-1, complete genome",MH051717,FALSE
"Potato virus S isolate ALV, complete genome",MF496659,FALSE
"Potato virus S isolate A, complete genome",MK024940,FALSE
"Apple chlorotic leaf spot virus VIC10 RNA, complete genome",LC522980,FALSE
"Bean common mosaic virus isolate NL7n, complete genome",KY057338,FALSE
"Bean common mosaic virus isolate HB, complete genome",KC478389,FALSE
"Papaya ringspot virus isolate PRSV-SD, complete genome",MF085000,FALSE
"Papaya ringspot virus isolate Meghalaya, complete genome",MF356497,FALSE
"Papaya ringspot virus WB genomic RNA, complete genome",LC482263,FALSE
"Papaya ringspot virus isolate SK, complete genome",KY996464,FALSE
"Papaya ringspot virus isolate PRSV_CH, complete genome",KT275938,FALSE
"Potato virus Y isolate SW, complete genome",KY983389,FALSE
"Potato virus Y isolate BHC, complete genome",MF033143,FALSE
"Potato virus Y isolate TC, complete genome",MF033142,FALSE
"Soybean mosaic virus isolate Rsv4-RB3, complete genome",JN416770,FALSE
"Soybean mosaic virus SMV-C genomic RNA, complete genome",LC323107,FALSE
"Sugarcane mosaic virus isolate F3S2, complete genome",KP860936,FALSE
"Cucumber green mottle mosaic virus isolate KW, complete genome",AF417242,FALSE
"Cucumber green mottle mosaic virus isolate TZ4, complete genome",KM873788,FALSE
"Tomato mosaic virus strain FERA_160205, complete genome",KY810788,FALSE
"Hepatitis E virus clone HEPAC-26-2, complete genome",MN646694,FALSE
"Hepatitis E virus clone HEPAC-93-2, complete genome",MN646692,FALSE
"Hepatitis E virus isolate HEPAC-22, complete genome",MF444102,FALSE
"Hepatitis E virus clone HEPAC-93-3, complete genome",MN646695,FALSE
"Hepatitis E virus clone HEPAC-94-2, complete genome",MN646693,FALSE
"Hepatitis E virus isolate BDHEVF151, nearly complete genome",MH992009,FALSE
"Hepatitis E virus clone HEPAC-100, complete genome",MN646689,FALSE
"Hepatitis E virus clone HEPAC-100-2, complete genome",MN646696,FALSE
"Hepatitis E virus isolate IND-HEV-FHF5-2007, complete genome",JF443726,FALSE
"Hepatitis E virus clone p6, complete genome",JQ679013,FALSE
"Hepatitis E virus isolate BDHEVM082, nearly complete genome",MH992013,FALSE
"Hepatitis E virus strain Vietnam-105, complete genome",JX120573,FALSE
"Hepatitis E virus strain CH-YT-sHEV01, complete genome",KC692453,FALSE
"Hepatitis E virus isolate MO, complete genome",JQ655733,FALSE
"Hepatitis E virus genomic RNA, complete genome, strain: CF4370",LC057248,FALSE
"Hepatitis E virus genomic RNA, nearly complete genome, isolate:HEVN2",AB253420,FALSE
"Hepatitis E virus isolate Sing-HEV20, complete genome",KT447527,FALSE
"Hepatitis E virus genomic RNA, complete genome, genotype 3, isolate: JE03-1760F, clone: pJE03-1760F/wt",AB437316,FALSE
"Hepatitis E virus isolate SAAS-JDY5, complete genome",FJ527832,FALSE
"Hepatitis E virus RMKM15 genomic RNA, nearly complete genome",LC428039,FALSE
"Hepatitis E virus genomic RNA, complete genome, genotype 4, isolate: HE-JF5",AB220973,FALSE
"Hepatitis E virus genomic RNA, complete genome, genotype 3, isolate: JE03-1760F, clone: pJE03-1760F/dORF3",AB437318,FALSE
"Feline coronavirus strain HLJ/HRB/2016/13, complete genome",KY566211,FALSE
"Feline coronavirus strain HLJ/HRB/2016/10, complete genome",KY566209,FALSE
"Human respirovirus 1 strain t146a290_HPIV1, complete genome",MH892403,FALSE
"Sweet potato feathery mottle virus strain RC, complete genome",KY296451,FALSE
"Porcine epidemic diarrhea virus isolate CH/HBTS/2017, complete genome",MH581489,FALSE
"Porcine epidemic diarrhea virus isolate ZJ15XS0101-P120, complete genome",MK409659,FALSE
"Porcine epidemic diarrhea virus isolate CH/JXJA/2017, complete genome",MF375374,FALSE
"Porcine epidemic diarrhea virus isolate CH/HNZZ47/2016, complete genome",KX981440,FALSE
"Porcine epidemic diarrhea virus isolate ZJ15XS0101-P16, complete genome",MK409657,FALSE
"Porcine epidemic diarrhea virus strain GDgh, complete genome",MG983755,FALSE
"Porcine epidemic diarrhea virus strain PEDV/Belgorod/dom/2008, complete genome",MF577027,FALSE
"Porcine epidemic diarrhea virus strain 85-7-C40, complete genome",KY486714,FALSE
"Porcine epidemic diarrhea virus isolate Br1_87 genome assembly, complete genome: monopartite",LT906582,FALSE
"Porcine epidemic diarrhea virus strain 85-7, complete genome",KX839246,FALSE
"Porcine epidemic diarrhea virus strain 85-7-mutant3, complete genome",KX839249,FALSE
"Porcine epidemic diarrhea virus strain ZJ15XS0101 P1, complete genome",KX550281,FALSE
"Porcine epidemic diarrhea virus isolate PEDV_GER_L00901-V215_1978 genome assembly, complete genome: monopartite",LT897799,FALSE
"Porcine epidemic diarrhea virus isolate ZJ15XS0101-P35, complete genome",MK409658,FALSE
"Porcine reproductive and respiratory syndrome virus strain PRRSV1/USA/Lab6, complete genome",MN175678,FALSE
Porcine reproductive and respiratory syndrome virus isolate PA8 complete genome,AF176348,FALSE
